image_path,image_id,ratio_category,label,og_image
p2p/OpenImages/SDv4/forested.jpeg,forested,,fake,
original/images/OpenImages/f2e1eb0a1aae36e1.jpg,f2e1eb0a1aae36e1,,real,
p2p/OpenImages/OJ/crisp.jpeg,crisp,,fake,
original/images/OpenImages/3fdfe506da22acaa.jpg,3fdfe506da22acaa,,real,
p2p/OpenImages/SDv4/at_an_airport.jpeg,f509159922bd5baa_m04dr76w_c5a9a2d9_OpenImages_OpenJourney,bin2,fake,
p2p/OpenImages/SDv4/serving_food_in.jpeg,serving_food_in,,fake,
"p2p/OpenImages/SDv4/woman_++
.jpeg",86401ad43b4f7652_m0cnyhnx_ca4b7e93_OpenImages_OpenJourney,bin5,fake,
p2p/OpenImages/SDv4/beer.jpeg,beer,,fake,
p2p/OpenImages/SDv5/comfortable.jpeg,a91055125f2815b4_m01bl7v_c916f3bd_OpenImages_StableDiffusion_v4,bin5,fake,
original/images/OpenImages/02ff509712130d4b.jpg,02ff509712130d4b,,real,
p2p/OpenImages/SDv5/in_a_bustling_kitchen.jpeg,91326dc604d416d7_m025rp___512185c4_OpenImages_StableDiffusion_v5,bin3,fake,
p2p/OpenImages/SDv5/bell_peppers.jpeg,bell_peppers,,fake,
p2p/OpenImages/OJ/boat.jpeg,boat,,fake,
original/images/OpenImages/f509159922bd5baa.jpg,f509159922bd5baa,,real,
original/images/OpenImages/532f43afe859ead9.jpg,532f43afe859ead9,,real,
p2p/OpenImages/SDv5/on_a_rainy_day.jpeg,3d06dba580883021_m021mn_542e8f96_OpenImages_StableDiffusion_v5,bin4,fake,
original/images/OpenImages/4d0f3223700e6099.jpg,4d0f3223700e6099,,real,
p2p/ADE20K/OJ/torrential_rainstorm.jpeg,df635368e8e6c48b_m012074_5b0f7633_OpenImages_StableDiffusion_XL,bin4,fake,
p2p/OpenImages/OJ/coconut.jpeg,coconut,,fake,
p2p/OpenImages/SDv4/at_an_airport.jpeg,ae666dbde4d986ca_m0ph39_f54bdf7b_OpenImages_OpenJourney,bin2,fake,
original/images/OpenImages/0bf80b98b70d97f0.jpg,0bf80b98b70d97f0,,real,
"p2p/OpenImages/SDv4/basketball____+_+
.jpeg",afdd2b6ab35d4986_m03y6mg_32eb542f_OpenImages_Kandinsky_2_2,bin5,fake,
p2p/OpenImages/SDv4/sofa.jpeg,52c49430de9b4f36_m08pbxl_7fe64d31_OpenImages_OpenJourney,bin5,fake,
p2p/ADE20K/OJ/on_a_cold_day.jpeg,076c246b24567c55_m024g6_d51b2b69_OpenImages_StableDiffusion_XL,bin5,fake,
p2p/OpenImages/OJ/hungry.jpeg,hungry,,fake,
p2p/OpenImages/OJ/small.jpeg,b2916bddaa2d55eb_m021mn_89c7afa6_OpenImages_StableDiffusion_v5,bin3,fake,
original/images/OpenImages/8d6d26f53d3f9872.jpg,8d6d26f53d3f9872,,real,
p2p/OpenImages/SDv4/on_a_laptop.jpeg,on_a_laptop,,fake,
original/images/OpenImages/f5fa0cf9a280d101.jpg,f5fa0cf9a280d101,,real,
original/images/OpenImages/10e14ddf2ff2819a.jpg,10e14ddf2ff2819a,,real,
p2p/OpenImages/OJ/wooden.jpeg,5811af6a3d6c2c3f_m0c9ph5_d65721fe_OpenImages_StableDiffusion_XL,bin5,fake,
p2p/OpenImages/SDv4/on.jpeg,4e7dce2a7f094a23_m0dftk_4d9427d7_OpenImages_Kandinsky_2_2,bin5,fake,
p2p/OpenImages/SDv5/in_the_misty_rain.jpeg,c861036dc15f8bca_m027pcv_3dde2a0c_OpenImages_StableDiffusion_v5,bin1,fake,
p2p/OpenImages/SDv4/on_a_rainy_day.jpeg,c41e3e3c39707992_m0ch_cf_8ebc71b9_OpenImages_OpenJourney,bin5,fake,
p2p/OpenImages/SDv5/on_a_rainy_day.jpeg,e57f506401152724_m01nq26_00e71e9d_OpenImages_StableDiffusion_v4,bin5,fake,
original/images/OpenImages/a117028b816da528.jpg,a117028b816da528,,real,
p2p/OpenImages/OJ/egg_wash.jpeg,egg_wash,,fake,
original/images/OpenImages/8b502818168a734a.jpg,8b502818168a734a,,real,
p2p/OpenImages/SDv4/on_a_sunny_day.jpeg,on_a_sunny_day,,fake,
p2p/OpenImages/OJ/diverse_tray.jpeg,d524268ef002d153_m024g6_7289363b_OpenImages_StableDiffusion_v5,bin5,fake,
original/images/OpenImages/f780908e3797adb6.jpg,f780908e3797adb6,,real,
p2p/ADE20K/OJ/hazy_and_hot.jpeg,91b073d974d53aac_m06mf6_d67eebfd_OpenImages_StableDiffusion_XL,bin5,fake,
p2p/OpenImages/SDv5/oranges.jpeg,001a695ad732152b_m02wbtzl_9b6e60b8_OpenImages_StableDiffusion_v4,bin5,fake,
p2p/OpenImages/OJ/parked_in_a_deserted_alley.jpeg,parked_in_a_deserted_alley,,fake,
p2p/OpenImages/SDv5/on_a_busy_street.jpeg,e6adb7f0a5ad41e8_m01xyhv_d115deda_OpenImages_Kandinsky_2_2,bin4,fake,
p2p/OpenImages/SDv4/on_a_sunny_day.jpeg,on_a_sunny_day,,fake,
original/images/OpenImages/645922562d3de125.jpg,645922562d3de125,,real,
p2p/OpenImages/SDv4/rack_on_the.jpeg,rack_on_the,,fake,
p2p/OpenImages/OJ/middle-aged.jpeg,81be67d8946df74c_m02jz0l_6bfa81fb_OpenImages_StableDiffusion_v5,bin1,fake,
p2p/OpenImages/SDv4/a_piano_keyboard.jpeg,a_piano_keyboard,,fake,
p2p/OpenImages/OJ/coastal_hiking_trail.jpeg,coastal_hiking_trail,,fake,
p2p/OpenImages/SDv4/in_a_desert.jpeg,fd280d46f9488014_m01d40f_41bb8e2e_OpenImages_OpenJourney,bin5,fake,
original/images/OpenImages/07b81f894c061c5a.jpg,07b81f894c061c5a,,real,
p2p/OpenImages/OJ/on_a_rainy_day.jpeg,96255b59d9f1c4c8_m0c9ph5_530ff6cd_OpenImages_StableDiffusion_v5,bin1,fake,
p2p/OpenImages/SDv4/at_dusk.jpeg,89c6d8208f281215_m05z6w_52a694b2_OpenImages_OpenJourney,bin4,fake,
p2p/OpenImages/SDv5/during_a_hailstorm.jpeg,during_a_hailstorm,,fake,
p2p/OpenImages/SDv4/bar.jpeg,bar,,fake,
